9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9938,0,8,-16.82,6.07978,0,3,11.77,1.15255,16.05,5,0,0.250993,0,5.84,-22.92,21.6834,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9535,0,8,-16.82,7.13686,0,3,11.77,1.89414,0,5,-16.05,0.249608,0,5.84,-22.92,19.9718,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9797,0,8,-16.82,6.35439,-11.77,3,0,0.249738,16.05,5,0,2.60305,22.92,5.84,0,19.9902,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9167,0,8,-16.82,6.56914,-11.77,3,0,0.249993,0,5,-16.05,2.52555,22.92,5.84,0,19.9721,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.971,0,8,-16.82,8.7318,-11.77,3,0,0.249997,0,5,-16.05,0.249773,0,5.84,-22.92,19.9874,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,17,40.42,5.3,-40.42,9.03988,0,3.5,27.47,2.39432,61.15,5,-61.15,2.26612,27.51,3.5,0,19.9993,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9997,40.42,5.3,-40.42,10.0733,0,3.5,27.47,1.39075,61.15,5,-61.15,1.7652,0,3.5,-27.51,20.2371,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9993,40.42,5.3,-40.42,10.8874,-27.47,3.5,0,0.883151,61.15,5,-61.15,1.93337,27.51,3.5,0,19.9976,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9984,40.42,5.3,-40.42,11.0048,-27.47,3.5,0,0.250174,61.15,5,-61.15,1.44152,0,3.5,-27.51,21.0065,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9999,98.15,2.4,-22.38,10.4018,0,3.5,27.47,3.44183,0,4.5,-31.01,2.20326,31.01,4.5,0,20.0483,0,0
